experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,target_coverage,actual_coverage,review_rate,confidence_threshold,selective_error,selective_macro_f1,accepted_attack_recall
advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,1.0,1.0,0.0,0.5000324359065494,0.05149190064204229,0.9370200788599229,0.975156486519658
advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.95,0.9499983593468013,0.050001640653198676,0.7432836374042292,0.03024275952587919,0.9630171142716699,0.9863602606612764
advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.9,0.8999994531156005,0.10000054688439952,0.8281770949059292,0.0209821442135038,0.9731766509736571,0.9874344200861908
advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.8,0.7999989062312008,0.20000109376879915,0.9325519476630068,0.008657875487924092,0.9876785589184343,0.9870065043109968
advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.7,0.6999983593468013,0.3000016406531987,0.9832228209403107,0.0049727533740893375,0.992340383079844,0.9947898575894408
advanced_core_s42,42,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.5,0.5,0.5,0.9997486257796818,0.0010664245791724546,0.9983862978847862,0.9995538409049156
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,1.0,1.0,0.0,0.5010049806422567,0.0031063033895895086,0.9960364350810366,0.9946303645215399
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.95,0.9502553950146018,0.04974460498539823,0.9954134521841,0.00012085774467938167,0.9998403823957731,0.9999319102577197
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.9,0.9000021875375983,0.09999781246240169,0.9972696412538912,1.2152957118290808e-05,0.999982575228302,0.9999459831737586
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.8,0.7999989062312008,0.20000109376879915,0.9997156642801067,0.0,1.0,1.0
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.7,0.6999983593468013,0.3000016406531987,0.9998862730618193,0.0,1.0,1.0
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,115,0.5,0.5004539140516477,0.49954608594835226,0.9999641937706822,0.0,1.0,1.0
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,1.0,1.0,0.0,0.5002340519903314,0.45932273835956555,0.5394651241994969,0.3485488815228272
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0.95,0.9499983593468013,0.050001640653198676,0.7349398876455674,0.43652675996338747,0.561943735205721,0.36709290340961465
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0.9,0.8999994531156005,0.10000054688439952,0.7388852003715868,0.40527196881541727,0.5931433893052207,0.3974817940515892
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0.8,0.7999989062312008,0.20000109376879915,0.750581436379303,0.33150126808993524,0.6668305551536762,0.47565141707011915
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0.7,0.6999983593468013,0.3000016406531987,0.9824000685762729,0.280071876403836,0.7189760887493291,0.5428205210369469
advanced_core_s42,42,logistic_regression,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0.5,0.5,0.5,0.9936816947767892,0.02401916282936113,0.975838921086301,0.9529792190632932
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,1.0,1.0,0.0,0.5278198190516156,0.7020108939372396,0.22962434690665365,6.62166530987446e-05
advanced_core_s42,42,hist_gradient_boosting,deployment_safe,temporal,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,115,0.95,0.950340162096536,0.049659837903463955,0.998040582352509,0.6909482746218497,0.2360882457023411,0.0
