feature,importance,importance_std,explain_sample_size,permutation_repeats,task,method,experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features
duration,0.855612334677309,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
packets_count,0.4884350742946321,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
fwd_packets_count,1.3558894888496313,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
bwd_packets_count,0.15640437117870584,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
total_payload_bytes,0.2499421455950875,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
fwd_total_payload_bytes,6.94912114766628,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
bwd_total_payload_bytes,0.25767116311931154,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
payload_bytes_max,2.2864209140295313,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
payload_bytes_min,0.020538964509164946,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
payload_bytes_mean,0.6845233938777127,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
payload_bytes_std,0.37278614736963955,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
payload_bytes_variance,19.03093165994388,,365708,0,binary,coefficient,advanced_core_s7,7,logistic_regression,deployment_safe,random_stratified,,171746c8753403c4,411d47df062d3116,7e8ccfc6874f639c,1706636,365708,115
