label,rows,pct
Benign,13484708,83.07001386008686
DDOS attack-HOIC,686012,4.226048227976899
DDoS attacks-LOIC-HTTP,576191,3.54951656024419
DoS attacks-Hulk,461912,2.845522219846395
Bot,286191,1.7630259651623243
FTP-BruteForce,193360,1.1911580050518258
SSH-Bruteforce,187589,1.1556068422096966
Infilteration,161934,0.9975640276689198
DoS attacks-SlowHTTPTest,139890,0.8617661011931108
DoS attacks-GoldenEye,41508,0.25570224696778643
DoS attacks-Slowloris,10990,0.06770183324120586
DDOS attack-LOIC-UDP,1730,0.010657340446522851
Brute Force -Web,611,0.003763950874465585
Brute Force -XSS,230,0.0014168718512718242
SQL Injection,87,0.0005359471785245597
