experiment,model,feature_tier,split,seed,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_val,n_test,n_features,train_positive_rate,test_positive_rate,status,train_seconds,inference_seconds,warning_count,convergence_warning_count,warning_messages,model_path,error_type,error_message,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
fullcore_lr2000_s42,logistic_regression,no_identity,random_stratified,42,,171746c8753403c4,7d2ae6c897c9e461,7142d3fea5a410b5,1706636,365708,365708,117,0.26734992113139533,0.2673499075765365,completed,132.73933396099983,1.0149055029996816,0,0,,,,,0.9083259479497222,0.9357176713913683,0.9561225022835174,0.8756848489595904,0.03851601922207662,0.034019428013720064,0.9895325141224897,0.9699183539924221
fullcore_lr2000_s42,logistic_regression,no_identity,temporal,42,,171746c8753403c4,7d2ae6c897c9e461,b810bedb62f67dc0,1706636,365708,365708,117,0.22634820781935924,0.7020163627812352,completed,163.30561881800077,1.0281616780002878,0,0,,,,,0.5166871756151964,0.5402045030211835,0.6717269016558369,0.3643249947743282,0.33316732058624043,0.38233921691952305,0.9650448329222076,0.9819841871461155
fullcore_lr2000_s42,logistic_regression,no_identity,day_holdout_2017-07-07,42,,171746c8753403c4,7d2ae6c897c9e461,b577629557e4a8ba,1485336,326050,626666,117,0.2148900989405764,0.4189855521122895,completed,141.4188193150003,1.9439454610001121,0,0,,,,,0.49235345014060133,0.6399233577506193,0.6510909704207034,0.39582165542687603,0.22557570622534812,0.2440035837142765,0.9245533043695755,0.8772074531750362
fullcore_lr2000_s42,logistic_regression,no_identity,scenario_holdout_Web,42,,171746c8753403c4,7d2ae6c897c9e461,27742c07ee6fff58,1702884,373805,361363,117,0.31188912456749845,0.011390208737474506,completed,158.4884822009999,1.039421121000487,0,0,,,,,0.005413442110479966,0.4839779433899301,0.47777227514198356,-0.019680895999797502,0.05059751907755484,0.05971666334489081,0.8691206718950686,0.040518695317376556
fullcore_lr2000_s42,logistic_regression,no_identity,endpoint_pair_holdout,42,,171746c8753403c4,7d2ae6c897c9e461,9731161ce9edca4d,1693762,483229,261061,117,0.3400637161537453,0.13555452557065206,completed,129.03731095400053,0.7712884679995113,0,0,,,,,0.81251843897143,0.8880977911723146,0.9533400645302212,0.7926897518339824,0.04606319730502787,0.055796705991369114,0.983104687572159,0.8403901012098975
fullcore_lr2000_s42,logistic_regression,deployment_safe,random_stratified,42,,171746c8753403c4,411d47df062d3116,7142d3fea5a410b5,1706636,365708,365708,115,0.26734992113139533,0.2673499075765365,completed,113.15272196700062,1.0708631449997483,0,0,,,,,0.9101218516874525,0.9370200788599229,0.9569701876047472,0.8780947360445714,0.039299624964474346,0.034485704952620044,0.9894765319210006,0.9694804874765666
fullcore_lr2000_s42,logistic_regression,deployment_safe,temporal,42,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,365708,115,0.22634820781935924,0.7020163627812352,completed,188.01173654500053,1.133560817000216,0,0,,,,,0.5158381996045495,0.5394651241994969,0.6709296369073187,0.36271058447471677,0.3496601444608917,0.3955329684033043,0.9665460972422669,0.9825489560198317
fullcore_lr2000_s42,logistic_regression,deployment_safe,day_holdout_2017-07-07,42,,171746c8753403c4,411d47df062d3116,b577629557e4a8ba,1485336,326050,626666,115,0.2148900989405764,0.4189855521122895,completed,169.46577023999998,1.8173158570007217,0,0,,,,,0.4880285387942468,0.6370109770577522,0.6486864907806876,0.3900686708022416,0.2338336409667462,0.25276912942193097,0.9230749938581786,0.8733288106754971
fullcore_lr2000_s42,logistic_regression,deployment_safe,scenario_holdout_Web,42,,171746c8753403c4,411d47df062d3116,27742c07ee6fff58,1702884,373805,361363,115,0.31188912456749845,0.011390208737474506,completed,158.10625127000003,1.0927218920005544,0,0,,,,,0.00512630014858841,0.4833178431927784,0.476562202829002,-0.020457194190590618,0.05175324897696518,0.06610984403853379,0.8665891046578981,0.03988615386327803
fullcore_lr2000_s42,logistic_regression,deployment_safe,endpoint_pair_holdout,42,,171746c8753403c4,411d47df062d3116,9731161ce9edca4d,1693762,483229,261061,115,0.3400637161537453,0.13555452557065206,completed,148.137877184,0.7395308550003392,0,0,,,,,0.8055400111919419,0.8836567331012075,0.9530365431485679,0.7858923127154307,0.046626165778127254,0.058377424546366505,0.9845540876710648,0.8432048463467944
