experiment,model,feature_tier,split,seed,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_val,n_test,n_features,train_positive_rate,test_positive_rate,status,train_seconds,inference_seconds,model_path,error_type,error_message,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
fullcore_mem_s99,logistic_regression,no_identity,random_stratified,99,,171746c8753403c4,7d2ae6c897c9e461,70b357c6db894459,1706636,365708,365708,117,0.26734992113139533,0.2673499075765365,completed,136.22602470200036,1.1159613729996636,,,,0.9092331544424568,0.9363841814919038,0.9564615244816826,0.8768802267831313,0.03816930550144154,0.03346920431185143,0.9897503222958539,0.9707992854167078
fullcore_mem_s99,hist_gradient_boosting,no_identity,random_stratified,99,,171746c8753403c4,7d2ae6c897c9e461,70b357c6db894459,1706636,365708,365708,117,0.26734992113139533,0.2673499075765365,completed,63.303801526000825,2.478476017000503,,,,0.9992127352847956,0.9994626578391496,0.9995762094453069,0.9989254349129724,0.00036759198514584566,0.0006532522675913584,0.9999660308708358,0.9994783141641096
fullcore_mem_s99,logistic_regression,no_identity,temporal,99,,171746c8753403c4,7d2ae6c897c9e461,b810bedb62f67dc0,1706636,365708,365708,117,0.22634820781935924,0.7020163627812352,completed,174.02397581699915,1.0811411359991325,,,,0.5166871756151964,0.5402045030211835,0.6717269016558369,0.3643249947743282,0.33316732058624043,0.38233921691952305,0.9650448329222076,0.9819841871461155
fullcore_mem_s99,hist_gradient_boosting,no_identity,temporal,99,,171746c8753403c4,7d2ae6c897c9e461,b810bedb62f67dc0,1706636,365708,365708,117,0.22634820781935924,0.7020163627812352,completed,70.36530843900073,2.1964230949997727,,,,0.00186790051873154,0.23062434510131727,0.5004674116689323,0.016695657756324252,0.7000402767897795,0.7007353021109188,0.743778748461507,0.870307266757654
fullcore_mem_s99,logistic_regression,no_identity,day_holdout_2017-07-07,99,,171746c8753403c4,7d2ae6c897c9e461,b7f30cee2aaecfe2,1485336,326050,626666,117,0.2148900989405764,0.4189855521122895,completed,128.2945505890002,2.09148534400083,,,,0.4957229461511909,0.6419177848025216,0.652585758047399,0.3983059484795435,0.22028666588372306,0.23772567362614605,0.925245563797719,0.879411075532502
fullcore_mem_s99,hist_gradient_boosting,no_identity,day_holdout_2017-07-07,99,,171746c8753403c4,7d2ae6c897c9e461,b7f30cee2aaecfe2,1485336,326050,626666,117,0.2148900989405764,0.4189855521122895,completed,52.121187560998806,3.3703063979992294,,,,0.22160899302498815,0.4908191521672386,0.5622481042576253,0.2759016297155482,0.36458903130320913,0.36565052854149444,0.8758711151826797,0.8187774613109272
fullcore_mem_s99,logistic_regression,no_identity,scenario_holdout_Web,99,,171746c8753403c4,7d2ae6c897c9e461,b96020ab6ce77c9d,1702884,373805,361363,117,0.31188912456749845,0.011390208737474506,completed,135.48955542600015,1.1806039760012936,,,,0.003282568036947975,0.4828961384605846,0.47437651296528194,-0.022702936762237814,0.05069815938303811,0.061232546584960114,0.8713625596571958,0.04122692921388502
fullcore_mem_s99,hist_gradient_boosting,no_identity,scenario_holdout_Web,99,,171746c8753403c4,7d2ae6c897c9e461,b96020ab6ce77c9d,1702884,373805,361363,117,0.31188912456749845,0.011390208737474506,completed,72.69610882800043,2.8958172769998782,,,,0.0067243035542747355,0.5004841816089404,0.5016530941482226,0.030442894872287983,0.009959409141342093,0.010406934021778606,0.9744192705651931,0.5039763883422118
fullcore_mem_s99,logistic_regression,no_identity,endpoint_pair_holdout,99,,171746c8753403c4,7d2ae6c897c9e461,cad9f8afa02fb37b,1782463,210378,445211,117,0.32215367163301567,0.0882368135558196,completed,187.1508889609995,1.456006159000026,,,,0.8113492702622203,0.8949834765148528,0.9500807080891536,0.7991997672711104,0.028911267571708567,0.03031065018727059,0.9872265569198838,0.8558311264777396
fullcore_mem_s99,hist_gradient_boosting,no_identity,endpoint_pair_holdout,99,,171746c8753403c4,7d2ae6c897c9e461,cad9f8afa02fb37b,1782463,210378,445211,117,0.32215367163301567,0.0882368135558196,completed,70.41303637599958,2.8914249219997146,,,,0.9827846728054656,0.9905725241292882,0.9841604209081583,0.9812723412068576,0.0029301682624253986,0.0027654543951360425,0.9934932965111325,0.9779865577973841
